C10:1
C11:1
C12:1
D85:1
GND:1
H1:1
H2:1
H3:1
H4:1
J1:1
J2:1
J6:1
Q9:1
R10:1
R103:1
R104:1
R105:1
R106:1
R107:1
R108:1
R12:1
R8:1
R9:1
REF**:2
SW1:1
U6:1
VBUS:1
VRAW:1
