Designator,Mid X,Mid Y,Rotation,Layer
D151,155.1245,-134.0142,0.0,bottom
D152,174.1745,-134.0142,0.0,bottom
D153,193.2245,-134.0142,0.0,bottom
D154,212.2745,-134.0142,0.0,bottom
D155,231.3245,-134.0142,0.0,bottom
D156,250.3745,-134.0142,0.0,bottom
D157,269.4245,-134.0142,0.0,bottom
D158,305.1369,-134.0142,0.0,bottom
D159,345.6245,-134.0142,0.0,bottom
D16,62.6685,-77.276,270.0,bottom
D160,57.4869,-153.0642,0.0,bottom
D161,81.3121,-153.0642,0.0,bottom
D162,105.0865,-153.0642,0.0,bottom
D163,176.5113,-153.0642,0.0,bottom
D164,247.9869,-153.0642,0.0,bottom
D165,271.7613,-153.0642,0.0,bottom
D166,295.5865,-153.0642,0.0,bottom
D167,326.5237,-153.0642,0.0,bottom
D168,345.6245,-153.0642,0.0,bottom
D169,364.6745,-153.0642,0.0,bottom
D17,81.7185,-77.276,270.0,bottom
D18,100.7685,-77.276,270.0,bottom
D19,119.8185,-77.276,270.0,bottom
D2,100.7685,-53.293,270.0,bottom
D20,138.7415,-77.276,270.0,bottom
D21,157.9185,-77.276,270.0,bottom
D22,176.9685,-77.276,270.0,bottom
D23,196.0185,-77.276,270.0,bottom
D24,215.0685,-77.276,270.0,bottom
D25,234.1185,-77.276,270.0,bottom
D26,253.2955,-77.276,270.0,bottom
D27,272.2185,-77.276,270.0,bottom
D28,291.2685,-77.276,270.0,bottom
D29,319.4625,-77.276,270.0,bottom
D3,119.8185,-53.42,270.0,bottom
D30,353.1175,-77.276,270.0,bottom
D31,372.1675,-77.276,270.0,bottom
D32,67.4945,-96.366,270.0,bottom
D33,91.3705,-96.366,270.0,bottom
D34,110.4205,-96.366,270.0,bottom
D35,129.4705,-96.366,270.0,bottom
D36,148.3935,-96.366,270.0,bottom
D37,167.4435,-96.366,270.0,bottom
D38,186.4935,-96.366,270.0,bottom
D39,205.5435,-96.366,270.0,bottom
D4,138.8685,-53.42,270.0,bottom
D40,224.5935,-96.366,270.0,bottom
D41,243.6435,-96.366,270.0,bottom
D42,262.6935,-96.366,270.0,bottom
D43,281.8705,-96.366,270.0,bottom
D44,300.7935,-96.366,270.0,bottom
D45,324.6695,-96.366,270.0,bottom
D46,353.2445,-96.366,270.0,bottom
D47,372.1675,-96.366,270.0,bottom
D48,69.7805,-115.416,270.0,bottom
D49,95.9425,-115.416,270.0,bottom
D5,157.9185,-53.42,270.0,bottom
D50,115.1195,-115.416,270.0,bottom
D51,134.1695,-115.416,270.0,bottom
D52,153.2195,-115.436,270.0,bottom
D53,172.2695,-115.416,270.0,bottom
D54,191.3195,-115.416,270.0,bottom
D55,210.3695,-115.416,270.0,bottom
D56,229.4195,-115.416,270.0,bottom
D57,248.4695,-115.416,270.0,bottom
D58,267.6465,-115.416,270.0,bottom
D59,286.5695,-115.416,270.0,bottom
D6,186.4935,-53.42,270.0,bottom
D60,317.0495,-115.416,270.0,bottom
D61,74.0985,-134.466,270.0,bottom
D62,105.4675,-134.486,270.0,bottom
D63,124.5175,-134.486,270.0,bottom
D64,143.5675,-134.486,270.0,bottom
D65,162.7445,-134.486,270.0,bottom
D66,181.7945,-134.486,270.0,bottom
D67,200.8445,-134.486,270.0,bottom
D68,219.8945,-134.486,270.0,bottom
D69,238.9445,-134.486,270.0,bottom
D7,205.5435,-53.42,270.0,bottom
D70,257.9945,-134.486,270.0,bottom
D71,277.0445,-134.486,270.0,bottom
D72,312.2235,-134.486,270.0,bottom
D73,353.1175,-134.486,270.0,bottom
D74,65.0815,-153.496,270.0,bottom
D75,88.8305,-153.496,270.0,bottom
D76,112.7065,-153.496,270.0,bottom
D77,182.4295,-154.2748,270.0,bottom
D78,255.5815,-153.496,270.0,bottom
D79,279.4575,-153.496,270.0,bottom
D8,224.5935,-53.42,270.0,bottom
D80,303.2065,-153.496,270.0,bottom
D81,334.0675,-153.496,270.0,bottom
D82,353.2445,-153.496,270.0,bottom
D83,372.2945,-153.496,270.0,bottom
D84,167.0625,-40.4342,0.0,bottom
D85,160.7125,-39.9802,0.0,bottom
D86,55.0993,-53.0136,0.0,bottom
D87,93.1993,-53.039,0.0,bottom
D88,112.2493,-53.039,0.0,bottom
D89,131.2993,-53.039,0.0,bottom
D9,243.6435,-53.42,270.0,bottom
D90,150.3493,-53.039,0.0,bottom
D91,178.8989,-53.039,0.0,bottom
D92,197.9489,-53.039,0.0,bottom
D93,216.9989,-53.039,0.0,bottom
D94,236.0489,-53.039,0.0,bottom
D95,264.6493,-53.039,0.0,bottom
D96,283.6993,-53.039,0.0,bottom
D97,302.7493,-53.039,0.0,bottom
D98,321.7993,-53.039,0.0,bottom
D99,345.6245,-53.039,0.0,bottom
J1,144.2025,-144.085,90.0,bottom
J2,190.1053,-151.083,270.0,top
J3,329.6225,-112.9322,270.0,top
J4,337.7505,-117.682,180.0,bottom
J5,190.1307,-154.385,270.0,top
J6,329.6225,-117.682,180.0,bottom
J7,235.1345,-147.7556,0.0,bottom
Q1,196.2604,-147.1968,270.0,bottom
Q2,143.362,-150.7122,0.0,bottom
Q3,155.203,-143.971,180.0,bottom
Q4,147.68,-150.7122,0.0,bottom
R1,198.0505,-142.066,0.0,bottom
R10,334.0675,-126.762,270.0,bottom
R11,199.0645,-146.6888,0.0,bottom
R12,326.5745,-127.715,90.0,bottom
R13,143.235,-153.5062,0.0,bottom
R14,140.441,-150.7122,270.0,bottom
R15,147.68,-153.3792,180.0,bottom
